;code_aiot;x;y;code_epsg;nom_ets;num_dep;adresse_x;cd_insee;cd_postal;commune;code_naf;lib_naf;num_siret;cd_regime;lib_regime;seveso;lib_seveso;priorite_n;date_modif;derniere_i;url_fiche;rubrique;nom_etablissement;numero_siret;adresse_y;code_insee;code_departement;code_region;top25% prelevements;top25% rejets;top25% rejets atmo;top25% rejets aqueux;top25% rejets sol
33;0005201642;376443;6329604;2154;DRT Lesperon;40;166 chemin du Bouscat;40152;40260;Lesperon;20;Industrie chimique;98552015400073;A;Autorisation;1;Seveso seuil haut;1;2025-10-08;2025-07-31;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201642;1434|3410|3420|4140|4331|4510|4511|4733|4736|2915|2921|1510|1630|2910|4718;LES DERIVES RESINIQUES ET TERPENIQUES;98552015400073;166, chemin Bouscat 40260 LESPERON;40152;40 ;75;False;False;False;False;False
34;0005201806;385530;6321401;2154;MLPC International SA;40;209, Avenue C. Despiau;40243;40370;Rion-des-Landes;20;Industrie chimique;98612018600010;A;Autorisation;1;Seveso seuil haut;1;2025-09-09;2025-04-24;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201806;1450|1630|3410|4110|4130|4140|4510|4511|4710|2661|2921|1185|1510|2662|2910|4110|4120|4130|4440|4725;MLPC INTERNATIONAL;98612018600010;209, Avenue C. Despiau 40370 RION-DES-LANDES;40243;40 ;75;False;False;False;True;False
35;0005202016;355089;6325869;2154;DRT Vielle-Saint-Girons;40;448, route de l'Océan;40326;40560;Vielle-Saint-Girons;20;Industrie chimique;98552015400032;A;Autorisation;1;Seveso seuil haut;1;2025-11-18;2025-08-28;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005202016;1434|1450|1630|3110|3410|3420|3510|4130|4140|4331|4510|4511|4736|2240|2910|2915|2921|1436|1510|1532|2260|2410|2925|4610|4722|4734|4735;LES DERIVES RESINIQUES ET TERPENIQUES;98552015400032;448, route de l'Océan 40560 VIELLE-SAINT-GIRONS;40326;40 ;75;True;True;True;False;False
36;0005202084;512285;6346855;2154;CURIA FRANCE;47;Zone Industrielle de Laville;47032;47240;Bon-Encontre;20;Industrie chimique;49075603800017;A;Autorisation;1;Seveso seuil haut;1;2025-11-08;2025-09-05;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005202084;1450|3450|4110|4120|4130|4140|4150|4716|2915|2921|4331|1630|2910|4120|4130|4140|4421|4440|4441|4510|4610|4630|4722|4735;CURIA FRANCE SAS;49075603800017;Zone Industrielle de Laville 47240 BON-ENCONTRE;47032;47 ;75;False;False;False;False;False
37;0005202305;485297;6371264;2154;CURIA FRANCE;47;Usine de Tonneins - Rue du Docteur Nicole BRU;47310;47400;Tonneins;20;Industrie chimique;49075603800025;A;Autorisation;1;Seveso seuil haut;1;2025-10-26;2025-09-05;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005202305;3450|4110|4120|4441|2915|2921|4331|1630;CURIA FRANCE SAS;49075603800025;Usine de Tonneins, Rue du Docteur Nicole BRU 47400 TONNEINS;47310;47 ;75;False;False;False;False;False
38;0005202494;406435;6237843;2154;Safran Landing Systems;64;9 rue Guynemer - BP 39;64126;64400;Bidos;30;Fabrication d'autres matériels de transport;71201953800081;A;Autorisation;1;Seveso seuil haut;1;2025-11-08;2023-07-26;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005202494;1450|2567|3260|4110|2560|2565|1185|1185|2561|2567|2575|2910|2940|4510;SAFRAN LANDING SYSTEMS;71201953800081;Etablissement de Bidos, BP 39 64400 BIDOS;64126;64 ;75;False;False;False;False;False
39;0005202690;403947;6265390;2154;ARKEMA Mont;64;Usine de Mont - Pole 1 - 122, route des Pyrénées -  MONT;64396;64300;Mont;20;Industrie chimique;31963279000246;A;Autorisation;1;Seveso seuil haut;1;2025-12-02;2025-06-24;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005202690;1434|1630|2660|2661|2790|3410|3420|3430|4110|4130|4510|4630|2662|2915|2921|4331|1185|1414|2915|4310|4411|4725;ARKEMA FRANCE;31963279000246;Usine de Mont - Pole 1, 122, route des Pyrénées -  MONT 64301 ORTHEZ;64430;64 ;75;True;False;True;False;False
40;0005202703;408127;6260347;2154;SOCIETE BEARNAISE DE SYNTHESE SA (SBS);64;Plate Forme SOBEGI - Pôle 4 - Avenue du Lac - RD n°281;64410;64150;Mourenx;20;Industrie chimique;40772442600025;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-09-24;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005202703;3410|4110|4120|4331|1434|1450|2925|4130|4511;SOC BEARNAISE DE SYNTHESE;40772442600025;Plate Forme SOBEGI - Pôle 4, Avenue du Lac - RD n°281 64150 MOURENX;64410;64 ;75;False;False;False;False;False
41;0005202708;408082;6260305;2154;LUBRIZOL FRANCE SAS;64;Pôle 4 - RD 281 - Avenue du Lac;64410;64150;Mourenx;20;Industrie chimique;54207095800047;A;Autorisation;1;Seveso seuil haut;1;2025-10-31;2025-09-09;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005202708;1414|1434|1436|3410|4330|4718|4737||4130;LUBRIZOL FRANCE;54207095800047;Pôle 4 - RD 281, Avenue du Lac 64150 MOURENX;64410;64 ;75;False;False;False;False;False
42;0005202716;407800;6260284;2154;NOVEAL SA;64;Plate Forme SOBEGI - BP 5;64410;64150;Mourenx;20;Industrie chimique;54820149000024;A;Autorisation;1;Seveso seuil haut;1;2025-11-14;2025-10-02;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005202716;1450|2640|3410|4110|4130|4421|4510|4733|2915|4331|1185|1434|1510|2925|4120|4140|4330|4440|4441|4511|4620|4630|4715;NOVEAL;54820149000024;Plate Forme SOBEGI, BP 5 64150 MOURENX;64410;64 ;75;False;False;True;False;False
